Acom Co., Ltd.,ACMUY,OTC Markets,United States of America
Accenture plc,ACN,NYSE,United States of America
ACNB Corp.,ACNB,NasdaqCM,United States of America
Acorda Therapeutics, Inc.,ACOR,NasdaqGS,United States of America
Archos SA,ACOSF,OTC Markets,United States of America
Active Power Inc.,ACPW,NasdaqCM,United States of America
Asia Carbon Industries, Inc.,ACRB,OTC Markets,United States of America
Ares Commercial Real Estate Co,ACRE,NYSE,United States of America
AcelRx Pharmaceuticals, Inc.,ACRX,NasdaqGM,United States of America
Aerocast Inc.,ACST,NasdaqCM,United States of America
Advanced Cell Technology Inc.,ACTC,OTC BB,United States of America
Acacia Research Corporation,ACTG,NasdaqGS,United States of America
Actel Corporation,ACTLF,OTC Markets,United States of America
Ascent Resources plc,ACTPF,OTC Markets,United States of America
ASCOTT RESIDENCE TRU,ACTRF,OTC Markets,United States of America
The Active Network, Inc.,ACTV,NYSE,United States of America
Acura Pharmaceuticals, Inc.,ACUR,NasdaqCM,United States of America
Accuride Corp.,ACW,NYSE,United States of America
Acxiom Corporation,ACXM,NasdaqGS,United States of America
Acadian Mining Corporation,ADAIF,OTC Markets,United States of America
Adelaide Brighton Ltd.,ADBCF,OTC Markets,United States of America
Adobe Systems Inc.,ADBE,NasdaqGS,United States of America
Agree Realty Corp.,ADC,NYSE,United States of America
Addex Therapeutics Ltd.,ADDXF,OTC Markets,United States of America
Alternative Energy Development,ADEC,OTC Markets,United States of America
Adira Energy Ltd.,ADENF,OTC Markets,United States of America
Adept Technology Inc.,ADEP,NasdaqGM,United States of America
ADA-ES, Inc.,ADES,NasdaqCM,United States of America
Advanced Explorations Inc.,ADEXF,OTC Markets,United States of America
ADF Group Inc.,ADFJF,OTC Markets,United States of America
ADVANCE FRONTIER MKT,ADFMF,OTC Markets,United States of America
American Defense Systems, Inc.,ADFS,OTC Markets,United States of America
Adfitech, Inc.,ADFT,OTC Markets,United States of America
ADVANCED DIGITAL BR,ADGBF,OTC Markets,United States of America
